algorithm,T0,alpha,step_size,mean,best,worst,std,rmse,mse,mean_runtime,mean_distance_to_x_star
SA_continuous,10,0.9,0.005,-120.2153754927711,-159.92397268679497,-51.209261423839834,29.912586901641795,85.20768253454486,7260.349162907781,,
SA_continuous,10,0.9,0.01,-122.76285172331127,-199.84087094038685,-49.72453492962281,40.109345911390896,87.03066530456267,7574.33670335481,,
SA_continuous,10,0.9,0.05,-118.38643438531686,-199.97264238311007,-39.996994991965394,35.46911229686274,88.98781950059036,7918.83201946965,,
SA_continuous,10,0.9,0.1,-119.83459093471582,-160.0,-67.27877064809077,32.20540904150934,86.39259911667943,7463.68118213528,,
SA_continuous,10,0.9,0.3,-120.68805385119386,-160.0,-33.792561287009946,35.031608502545346,86.70408523355015,7517.59839618673,,
SA_continuous,10,0.9,0.5,-111.66839076595774,-196.08387245889898,-35.50900847178498,32.718824678669016,94.19657466293039,8872.994678229019,,
SA_continuous,10,0.95,0.005,-122.49286667684366,-199.88711919996362,-30.120023992628745,32.94789619490397,84.21947268680621,7092.919579643697,,
SA_continuous,10,0.95,0.01,-120.31115815610372,-160.0,-27.23467371973499,32.59072508270185,86.09568442051999,7412.4668758377675,,
SA_continuous,10,0.95,0.05,-134.00154476636507,-199.34035150866103,-39.924492088139026,37.78283874318016,76.04826754581114,5783.3389967192725,,
SA_continuous,10,0.95,0.1,-120.02625162519078,-200.0,-39.79848928153334,38.79889730278865,88.88844053660543,7901.1548610296395,,
SA_continuous,10,0.95,0.3,-125.35249334703201,-199.37392823892372,-77.31871128032608,26.94851016755304,79.36291608651744,6298.472449755609,,
SA_continuous,10,0.95,0.5,-126.66043274580555,-160.0,-39.38720669713662,29.773563038118986,79.15274588425443,6265.157181017357,,
SA_continuous,10,0.99,0.005,-118.27474368331033,-159.983690033988,-39.99980982507718,33.70569065320927,88.40300392203005,7815.09110243846,,
SA_continuous,10,0.99,0.01,-124.47262039940819,-199.74881776010807,-38.80026552831511,36.42662618215466,83.85275287279678,7031.284164346329,,
SA_continuous,10,0.99,0.05,-107.45463989948016,-160.0,-40.0,34.493447643309565,98.76457667836493,9754.441606456625,,
SA_continuous,10,0.99,0.1,-119.76871460011738,-159.97405372463146,-79.67814472300336,27.474860941322532,84.80523062089053,7191.927140662428,,
SA_continuous,10,0.99,0.3,-113.41398690680289,-160.0,-79.1333395000037,29.189419902907247,91.37373746128337,8349.15989764354,,
SA_continuous,10,0.99,0.5,-127.11831974863897,-160.0,-68.6928396137662,31.86786998907984,79.5443301178816,6327.300453902526,,
SA_continuous,10,0.995,0.005,-119.50000388145696,-198.41562755536447,-54.13737807150749,32.55818833872622,86.83481446393154,7540.2850029854135,,
SA_continuous,10,0.995,0.01,-114.36668067139318,-160.0,-56.076917436373854,31.719427421278994,91.31915163408458,8339.187455168933,,
SA_continuous,10,0.995,0.05,-118.27986595011724,-200.0,-39.94885542200664,30.92404821903858,87.37549466174272,7634.477067384231,,
SA_continuous,10,0.995,0.1,-115.0503099943648,-160.0,-79.34367855418049,23.609575713656596,88.1695066189689,7773.8618974324,,
SA_continuous,10,0.995,0.3,-122.62164542196462,-160.0,-77.95792116364277,25.499811360409893,81.47177509187249,6637.650136620655,,
SA_continuous,10,0.995,0.5,-133.61921786957697,-200.0,-40.0,33.61782246602896,74.40810589985564,5536.566223604132,,
SA_continuous,10,0.999,0.005,-118.28612625221571,-159.99411222897632,-37.52464983505734,33.47176041692617,88.30354414335211,7797.515908276935,,
SA_continuous,10,0.999,0.01,-130.44959490354188,-200.0,-50.50193799204116,30.911638710491697,76.11036891810073,5792.788256849394,,
SA_continuous,10,0.999,0.05,-115.11265633488269,-160.0,-40.0,32.59804158622566,90.93125661606702,8268.49342977703,,
SA_continuous,10,0.999,0.1,-116.53398098996583,-198.68240034208833,-79.78790619337079,31.66512693334,89.2706928005374,7969.256593087921,,
SA_continuous,10,0.999,0.3,-126.86565382066743,-160.0,-78.86055353859409,25.288390757173445,77.38304270423819,5988.135298165951,,
SA_continuous,10,0.999,0.5,-134.51619028804697,-200.0,-77.70228789467312,35.712266152919554,74.58884157947644,5563.495288168234,,
SA_continuous,50,0.9,0.005,-112.12828322836158,-159.97034696868508,-39.99841349452824,32.75863809322262,93.77935262155405,8794.566978117777,,
SA_continuous,50,0.9,0.01,-121.0923518598268,-160.0,-11.508360586984159,42.896734325337725,89.81395632523925,8066.546750791982,,
SA_continuous,50,0.9,0.05,-121.51750041591896,-160.0,-80.0,25.396319791487084,82.48924657139716,6804.475799916758,,
SA_continuous,50,0.9,0.1,-109.25858252954384,-160.0,-79.84000511294943,26.92319112895532,94.65127080559387,8958.863065113866,,
SA_continuous,50,0.9,0.3,-112.96059148556962,-160.0,-77.84568822685881,27.00791087773731,91.1333412342689,8305.285884521696,,
SA_continuous,50,0.9,0.5,-125.75264533160487,-160.0,-78.08855278204007,27.06326045090049,79.02588020065154,6245.08974148773,,
SA_continuous,50,0.95,0.005,-114.16989161028069,-199.98067509538254,-10.49662975508984,41.25417953927974,95.22980014496562,9068.714835650095,,
SA_continuous,50,0.95,0.01,-116.18936811857813,-199.99137116961694,-40.84227076520706,37.70423320751739,91.90120357280455,8445.831218130064,,
SA_continuous,50,0.95,0.05,-131.514103071037,-199.93889497275165,-79.66298084571821,36.10478279726153,77.42010991339379,5993.873419001974,,
SA_continuous,50,0.95,0.1,-118.11733827393633,-160.0,-39.988886695563835,34.72274109338397,88.94064897662457,7910.43904038315,,
SA_continuous,50,0.95,0.3,-119.22922929240296,-160.0,-78.91965297713983,22.61583720143408,83.87725253619712,7035.393493020986,,
SA_continuous,50,0.95,0.5,-121.8403324268466,-199.21260823050403,-69.05567268330988,33.900559638815594,85.19496216896127,7258.181578970742,,
SA_continuous,50,0.99,0.005,-116.47092649922189,-160.0,-26.157843183946756,37.52017875949047,91.5689354204935,8384.86993404251,,
SA_continuous,50,0.99,0.01,-113.77022900475161,-160.0,42.19680625832078,40.89938357617477,95.43758684503739,9108.332982804053,,
SA_continuous,50,0.99,0.05,-120.5293395890376,-199.98916134229046,-79.90180955378844,31.407035950228103,85.45166922496848,7301.987773333426,,
SA_continuous,50,0.99,0.1,-106.95100049470432,-160.0,-39.99558895539265,31.361449412126454,98.19193866181624,9641.656818165882,,
SA_continuous,50,0.99,0.3,-128.06738823661624,-160.0,-78.50080066718616,24.961393462513204,76.1404741165439,5797.371798692092,,
SA_continuous,50,0.99,0.5,-126.96877345729406,-160.0,-80.0,20.29231023734526,75.79800726338856,5745.337905100704,,
SA_continuous,50,0.995,0.005,-108.06618934931562,-199.68727206756012,-6.76029058819096,43.09240768180088,101.5321680088159,10308.781140570418,,
SA_continuous,50,0.995,0.01,-125.4651041716021,-160.0,-65.60140072127518,30.091108112903857,80.37988233141796,6460.925483612597,,
SA_continuous,50,0.995,0.05,-118.33413755725667,-160.0,-79.94773198376042,26.46276875814459,85.84632326934047,7369.591218864108,,
SA_continuous,50,0.995,0.1,-110.16234616751986,-160.0,-39.88709175697672,28.25208265991829,94.17528455357802,8868.98422074739,,
SA_continuous,50,0.995,0.3,-130.33985519191134,-199.2098054232713,-39.6621271356971,32.944047820847146,77.05742054796634,5937.846061506146,,
SA_continuous,50,0.995,0.5,-134.52091298917304,-160.0,-76.12203038523393,25.55756492680937,70.2901128236363,4940.699960759522,,
SA_continuous,50,0.999,0.005,-115.53641152561042,-159.98892089747886,-25.68143788351124,38.25680892911272,92.72368202034299,8597.681207409678,,
SA_continuous,50,0.999,0.01,-120.32320664619822,-160.0,-48.43071146772992,29.063327375868464,84.81195904647727,7193.068397301337,,
SA_continuous,50,0.999,0.05,-129.469332684934,-199.7606327314868,-80.0,28.324700921246876,76.0056821177641,5776.863714186604,,
SA_continuous,50,0.999,0.1,-135.8796279961481,-160.0,-80.0,22.623154747877997,67.99433238630108,4623.229236658793,,
SA_continuous,50,0.999,0.3,-154.13724197113842,-200.0,-118.14107342029156,25.853699106679652,52.64794707785515,2771.806331512637,,
SA_continuous,50,0.999,0.5,-150.3722715054387,-200.0,-80.0,26.93315258240773,56.46508782918121,3188.3061435571476,,
SA_continuous,100,0.9,0.005,-116.97491854798463,-200.0,-12.550779350352624,44.189936245196655,94.05272253086738,8845.91461546833,,
SA_continuous,100,0.9,0.01,-120.41010109523522,-160.0,-35.33632605891463,36.588043160936714,87.59701427570032,7673.2369100172455,,
SA_continuous,100,0.9,0.05,-125.13813393450201,-200.0,-66.13456818325547,32.554134739577464,81.63375943475299,6664.070679451123,,
SA_continuous,100,0.9,0.1,-121.43192913931983,-199.76499760786535,-39.95500326555245,36.602435505791846,86.67571772834945,7512.680043724511,,
SA_continuous,100,0.9,0.3,-109.66358271122668,-160.0,-76.9150465585797,28.257471152317056,94.65280220096716,8959.152964495413,,
SA_continuous,100,0.9,0.5,-113.92514016359637,-160.0,-67.67849383977969,24.554716756071862,89.50874600187093,8011.815610827445,,
SA_continuous,100,0.95,0.005,-133.10757792933563,-198.04466417155479,-55.788443081928385,34.959694345301735,75.47699225059799,5696.776359196828,,
SA_continuous,100,0.95,0.01,-117.97885002337281,-160.0,-67.0368773628038,27.09905481814746,86.3818720306832,7461.827815525329,,
SA_continuous,100,0.95,0.05,-111.28078277427197,-159.92160467215672,-79.83943406763944,19.561682923460953,90.85020057184214,8253.758943943945,,
SA_continuous,100,0.95,0.1,-112.98370118456252,-160.0,-29.98203877759018,32.259053666459984,92.80346331356957,8612.482802993052,,
SA_continuous,100,0.95,0.3,-118.44214404633819,-160.0,-40.0,31.73559673614269,87.51475285891699,7658.831967957321,,
SA_continuous,100,0.95,0.5,-125.14650081568927,-160.0,-78.50956063383954,23.487459538471224,78.4519413125445,6154.707095706927,,
SA_continuous,100,0.99,0.005,-110.63420331992401,-159.82976226420539,-46.48294245148847,28.664346576105473,93.85036164501321,8807.890380899767,,
SA_continuous,100,0.99,0.01,-123.7642486604344,-199.90820466712827,-43.46090980352063,31.870105018864216,82.62925254546062,6827.593376221511,,
SA_continuous,100,0.99,0.05,-119.92743537525526,-200.0,-39.978375053990405,37.5146567958048,88.42491210112082,7818.965080090944,,
SA_continuous,100,0.99,0.1,-116.63446087984883,-160.0,-79.47215161827229,29.75848139778668,88.51768370159644,7835.380327895871,,
SA_continuous,100,0.99,0.3,-133.48614337420352,-194.9571110700565,-38.63957438259089,35.235546072853865,75.27042467190692,5665.636830289215,,
SA_continuous,100,0.99,0.5,-118.34609219243113,-200.0,-39.556574951007505,35.438202748756005,89.01250965066032,7923.226874308896,,
SA_continuous,100,0.995,0.005,-114.93217754656534,-159.99686121294096,-46.20955482051258,34.145661296912074,91.6649366026755,8402.46060237252,,
SA_continuous,100,0.995,0.01,-114.58356170149472,-159.949383288988,-42.00897546938053,31.388566424037844,91.00115402432321,8281.210033758596,,
SA_continuous,100,0.995,0.05,-108.73733832834347,-160.0,-79.96746572365805,26.51438069531823,95.03623413757255,9031.88579905151,,
SA_continuous,100,0.995,0.1,-116.66375458382467,-160.0,-40.0,31.782823691654603,89.1912421815046,7955.077681879807,,
SA_continuous,100,0.995,0.3,-130.3966681077775,-196.2754640499224,-79.30356954613949,30.49934516159275,75.99232767710733,5774.833865784852,,
SA_continuous,100,0.995,0.5,-134.95603230198245,-160.0,-80.0,22.221261174953003,68.7350142366045,4724.502182106223,,
SA_continuous,100,0.999,0.005,-117.44728723913711,-159.99515556122196,-39.999991595107915,32.125337727268864,88.58322475654528,7846.987708268617,,
SA_continuous,100,0.999,0.01,-116.76883919256481,-160.0,-79.95495845807086,31.81906685331531,89.10599948807535,7939.8791447688845,,
SA_continuous,100,0.999,0.05,-131.11706380182946,-199.77815222564928,-79.99492306578799,26.55695555156044,73.82500110022883,5450.130787448788,,
SA_continuous,100,0.999,0.1,-135.81204686725576,-160.0,-119.254313121866,19.507815889144986,67.08687060920451,4500.648208136147,,
SA_continuous,100,0.999,0.3,-147.96396224130706,-200.0,-118.14971234663872,23.764187938506574,57.20564529835126,3272.4858540007776,,
SA_continuous,100,0.999,0.5,-151.4171558910293,-200.0,-115.16999886644683,21.639981606158717,53.184410738781686,2828.5815456314367,,
